1783,104.972,15066
1784,129.477,88320
1785,225.572,2242
1786,292.704,23638
1787,123.724,14838
1788,95.0399,15729
1789,122.227,4695
1790,283.031,3425
1791,306.107,24292
1792,585.825,48817
1793,739.018,4792
1794,861.573,2082
1795,1354.96,68215
1796,0.793939,28560
1797,0.0766489,1795
1798,133.966,7802
1799,159.712,6512
1800,89.6519,6507
1801,154.332,3428
1802,80.9526,6507
1803,198.163,4731
1804,76.6315,25546
1805,122.832,30917
1806,72.3587,33460
1807,126.377,15702
1808,59.9094,30761
1809,114.3,1810
1810,122.801,15702
1811,156.756,48770
1812,70.628,6500
1813,0.279361,7802
1814,145.877,52381
1815,82.2428,3907
1816,88.4928,29357
1817,37.121,28648
1818,28.1907,16355
1819,30.365,16525
1820,18.535,25095
1821,27.3791,1818
1822,0.211558,1817
1823,0.872246,1817
1824,0.901409,1808
1825,0.816502,1809
1826,194.645,1803
1827,180.405,57352
1828,205.245,7536
1829,0.681633,1827
1830,69.7062,4739
1831,116.069,2152
1832,144.479,3562
1833,177.565,7546
1834,132.781,43722
1835,0.947751,1834
1836,50.2384,4740
1837,627.958,3630
1838,428.375,2189
1839,0.253534,7985
1840,0.237452,4934
1841,585.453,4852
1842,0.115796,7620
1843,933.432,1877
1844,1383.06,6889
1845,1290.56,1959
1846,0.666895,1845
1847,1105.12,52398
1848,863.023,2168
1849,0.530057,2068
1850,0.376765,7730
1851,625.283,1998
1852,0.391509,1977
1853,826.393,1848
1854,726.528,2172
1855,518.113,4905
1856,0.155745,1848
1857,958.149,39667
1858,564.366,59038
1859,568.403,24395
1860,635.11,1861
1861,642.314,4730
1862,0.316778,1860
1863,655.004,1902
1864,0.402955,1861
1865,640.423,5722
1866,0.831246,1863
1867,1163.1,72642
1868,1742.08,1940
1869,1341.21,39697
1870,1030.84,3301
1871,1031.55,3590
1872,977.848,5058
1873,0.853183,1843
1874,872.114,45035
1875,761.373,2062
1876,660.271,42497
1877,938.489,1878
1878,964.309,1872
1879,0.893462,1878
1880,0.52629,1872
1881,0.980158,1872
1882,0.804403,1870
1883,0.845876,1872
1884,1416.79,38641
1885,1015.91,59718
1886,940.58,1885
1887,0.690048,1853
1888,0.668443,1845
1889,0.91987,1884
1890,1474.38,6539
1891,1726.19,1892
1892,1770.08,3513
1893,1830.76,4786
1894,0.563501,45219
1895,0.964061,1868
1896,1731.64,1940
1897,1654.44,5654
1898,0.572247,1897
1899,1240.62,1890
1900,0.49289,1865
1901,0.997511,1865
1902,684.934,5716
1903,635.509,5727
1904,656.714,24246
1905,668.269,17010
1906,1164.55,3305
